,Year,Rk,Team,W,L,MOV,ORtg,DRtg,NRtg,FTr,3PAr,TS%,eFG%,TOV%,ORB%,DRB%,FT/FGA,Won Championship,Rounds Played
134,1998,19.0,Orlando Magic,41.0,41.0,-1.07,102.6,103.8,-1.2,0.331,0.141,0.499,0.452,14.5,34.2,66.9,0.24,0,0
135,1998,20.0,Milwaukee Bucks,36.0,46.0,-1.91,103.5,105.6,-2.1,0.339,0.11,0.527,0.475,15.8,31.4,69.1,0.26,0,0
136,1998,21.0,Philadelphia 76ers,31.0,51.0,-2.39,102.8,105.4,-2.6,0.367,0.126,0.514,0.462,15.4,32.5,67.3,0.271,0,0
137,1998,22.0,Boston Celtics,36.0,46.0,-2.62,102.6,105.4,-2.8,0.283,0.18,0.504,0.464,14.6,32.8,66.8,0.206,0,0
138,1998,23.0,Sacramento Kings,27.0,55.0,-5.59,100.8,106.9,-6.1,0.314,0.121,0.502,0.464,14.3,30.2,66.6,0.215,0,0
139,1998,24.0,Dallas Mavericks,20.0,62.0,-6.11,100.5,107.2,-6.7,0.257,0.175,0.498,0.458,13.6,27.6,65.1,0.194,0,0
140,1998,25.0,Los Angeles Clippers,17.0,65.0,-7.37,103.3,111.2,-7.9,0.306,0.219,0.518,0.477,14.8,29.6,66.1,0.221,0,0
141,1998,26.0,Vancouver Grizzlies,19.0,63.0,-7.3,104.1,112.0,-7.9,0.327,0.137,0.527,0.482,15.8,31.5,66.9,0.242,0,0
142,1998,27.0,Toronto Raptors,16.0,66.0,-9.27,101.2,111.0,-9.8,0.302,0.159,0.504,0.462,15.1,32.1,62.9,0.217,0,0
143,1998,28.0,Golden State Warriors,19.0,63.0,-9.12,95.8,105.7,-9.9,0.278,0.101,0.468,0.427,15.1,33.7,68.6,0.197,0,0
144,1998,29.0,Denver Nuggets,11.0,71.0,-11.78,99.0,112.1,-13.1,0.335,0.139,0.496,0.44,15.1,30.2,66.3,0.259,0,0
146,1999,1.0,San Antonio Spurs,37.0,13.0,8.06,104.0,95.0,9.0,0.371,0.137,0.523,0.479,14.6,30.4,69.5,0.259,1,4
